LineId,Label,Timestamp,Date,User,Month,Day,Time,Location,Component,PID,Content,EventId,EventTemplate
22,-,1131670642,2005.11.10,bn143,Nov,10,16:57:22,bn143/bn143,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
23,-,1131670642,2005.11.10,bn144,Nov,10,16:57:22,bn144/bn144,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
24,-,1131670642,2005.11.10,bn144,Nov,10,16:57:22,bn144/bn144,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
25,-,1131670642,2005.11.10,bn144,Nov,10,16:57:22,bn144/bn144,shutdown,,shutting down for system halt,E1,shutting down for system halt
26,-,1131670642,2005.11.10,bn145,Nov,10,16:57:22,bn145/bn145,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
27,-,1131670642,2005.11.10,bn146,Nov,10,16:57:22,bn146/bn146,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
28,-,1131670642,2005.11.10,bn147,Nov,10,16:57:22,bn147/bn147,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
29,-,1131670642,2005.11.10,bn148,Nov,10,16:57:22,bn148/bn148,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
30,-,1131670642,2005.11.10,bn149,Nov,10,16:57:22,bn149/bn149,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
31,-,1131670642,2005.11.10,bn149,Nov,10,16:57:22,bn149/bn149,shutdown,,shutting down for system halt,E1,shutting down for system halt
32,-,1131670642,2005.11.10,bn150,Nov,10,16:57:22,bn150/bn150,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
33,-,1131670642,2005.11.10,bn151,Nov,10,16:57:22,bn151/bn151,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
34,-,1131670642,2005.11.10,bn151,Nov,10,16:57:22,bn151/bn151,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
35,-,1131670642,2005.11.10,bn151,Nov,10,16:57:22,bn151/bn151,shutdown,,shutting down for system halt,E1,shutting down for system halt
36,-,1131670642,2005.11.10,bn152,Nov,10,16:57:22,bn152/bn152,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
37,-,1131670642,2005.11.10,bn152,Nov,10,16:57:22,bn152/bn152,pbs_mom,,pbs_mom shutdown succeeded,E3,<*> shutdown succeeded
38,-,1131670642,2005.11.10,bn152,Nov,10,16:57:22,bn152/bn152,smartd,,smartd shutdown failed,E2,<*> shutdown failed
39,-,1131670642,2005.11.10,bn152,Nov,10,16:57:22,bn152/bn152,sshd,2218,Received signal 15; terminating.,E6,Received signal <*>; terminating.
40,-,1131670642,2005.11.10,bn153,Nov,10,16:57:22,bn153/bn153,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
41,-,1131670642,2005.11.10,bn153,Nov,10,16:57:22,bn153/bn153,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
42,-,1131670642,2005.11.10,bn154,Nov,10,16:57:22,bn154/bn154,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
43,-,1131670642,2005.11.10,bn155,Nov,10,16:57:22,bn155/bn155,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
44,-,1131670642,2005.11.10,bn156,Nov,10,16:57:22,bn156/bn156,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
45,-,1131670642,2005.11.10,bn156,Nov,10,16:57:22,bn156/bn156,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
46,-,1131670642,2005.11.10,bn157,Nov,10,16:57:22,bn157/bn157,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
47,-,1131670642,2005.11.10,bn158,Nov,10,16:57:22,bn158/bn158,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
48,-,1131670642,2005.11.10,bn158,Nov,10,16:57:22,bn158/bn158,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
49,-,1131670642,2005.11.10,bn159,Nov,10,16:57:22,bn159/bn159,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
50,-,1131670642,2005.11.10,bn159,Nov,10,16:57:22,bn159/bn159,pbs_mom,,pbs_mom shutdown succeeded,E3,<*> shutdown succeeded
51,-,1131670642,2005.11.10,bn160,Nov,10,16:57:22,bn160/bn160,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
52,-,1131670642,2005.11.10,bn161,Nov,10,16:57:22,bn161/bn161,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
53,-,1131670642,2005.11.10,bn162,Nov,10,16:57:22,bn162/bn162,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
54,-,1131670642,2005.11.10,bn162,Nov,10,16:57:22,bn162/bn162,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
55,-,1131670642,2005.11.10,bn162,Nov,10,16:57:22,bn162/bn162,pbs_mom,,pbs_mom shutdown succeeded,E3,<*> shutdown succeeded
56,-,1131670642,2005.11.10,bn162,Nov,10,16:57:22,bn162/bn162,smartd,,smartd shutdown failed,E2,<*> shutdown failed
57,-,1131670642,2005.11.10,bn162,Nov,10,16:57:22,bn162/bn162,sshd,2220,Received signal 15; terminating.,E6,Received signal <*>; terminating.
58,-,1131670642,2005.11.10,bn163,Nov,10,16:57:22,bn163/bn163,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
59,-,1131670642,2005.11.10,bn163,Nov,10,16:57:22,bn163/bn163,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
60,-,1131670642,2005.11.10,bn164,Nov,10,16:57:22,bn164/bn164,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
61,-,1131670642,2005.11.10,bn164,Nov,10,16:57:22,bn164/bn164,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
62,-,1131670642,2005.11.10,bn165,Nov,10,16:57:22,bn165/bn165,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
63,-,1131670642,2005.11.10,bn165,Nov,10,16:57:22,bn165/bn165,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
64,-,1131670642,2005.11.10,bn165,Nov,10,16:57:22,bn165/bn165,shutdown,,shutting down for system halt,E1,shutting down for system halt
65,-,1131670642,2005.11.10,bn166,Nov,10,16:57:22,bn166/bn166,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
66,-,1131670642,2005.11.10,bn166,Nov,10,16:57:22,bn166/bn166,shutdown,,shutting down for system halt,E1,shutting down for system halt
67,-,1131670642,2005.11.10,bn167,Nov,10,16:57:22,bn167/bn167,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
68,-,1131670642,2005.11.10,bn167,Nov,10,16:57:22,bn167/bn167,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
69,-,1131670642,2005.11.10,bn168,Nov,10,16:57:22,bn168/bn168,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
70,-,1131670642,2005.11.10,bn168,Nov,10,16:57:22,bn168/bn168,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
71,-,1131670642,2005.11.10,bn169,Nov,10,16:57:22,bn169/bn169,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
72,-,1131670642,2005.11.10,bn169,Nov,10,16:57:22,bn169/bn169,pbs_mom,,pbs_mom shutdown succeeded,E3,<*> shutdown succeeded
73,-,1131670642,2005.11.10,bn169,Nov,10,16:57:22,bn169/bn169,smartd,,smartd shutdown failed,E2,<*> shutdown failed
74,-,1131670642,2005.11.10,bn169,Nov,10,16:57:22,bn169/bn169,snmpd,12183,Received TERM or STOP signal... shutting down...,E8,Received TERM or STOP signal... shutting down...
75,-,1131670642,2005.11.10,bn169,Nov,10,16:57:22,bn169/bn169,sshd,2192,Received signal 15; terminating.,E6,Received signal <*>; terminating.
76,-,1131670642,2005.11.10,bn170,Nov,10,16:57:22,bn170/bn170,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
77,-,1131670642,2005.11.10,bn170,Nov,10,16:57:22,bn170/bn170,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
78,-,1131670642,2005.11.10,bn170,Nov,10,16:57:22,bn170/bn170,shutdown,,shutting down for system halt,E1,shutting down for system halt
79,-,1131670642,2005.11.10,bn171,Nov,10,16:57:22,bn171/bn171,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
80,-,1131670642,2005.11.10,bn171,Nov,10,16:57:22,bn171/bn171,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
81,-,1131670642,2005.11.10,bn172,Nov,10,16:57:22,bn172/bn172,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
82,-,1131670642,2005.11.10,bn173,Nov,10,16:57:22,bn173/bn173,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
83,-,1131670642,2005.11.10,bn173,Nov,10,16:57:22,bn173/bn173,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
84,-,1131670642,2005.11.10,bn174,Nov,10,16:57:22,bn174/bn174,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
85,-,1131670642,2005.11.10,bn175,Nov,10,16:57:22,bn175/bn175,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
86,-,1131670642,2005.11.10,bn176,Nov,10,16:57:22,bn176/bn176,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
87,-,1131670642,2005.11.10,bn177,Nov,10,16:57:22,bn177/bn177,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
88,-,1131670642,2005.11.10,bn177,Nov,10,16:57:22,bn177/bn177,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
89,-,1131670642,2005.11.10,bn178,Nov,10,16:57:22,bn178/bn178,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
90,-,1131670642,2005.11.10,bn178,Nov,10,16:57:22,bn178/bn178,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
91,-,1131670642,2005.11.10,bn179,Nov,10,16:57:22,bn179/bn179,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
92,-,1131670642,2005.11.10,bn179,Nov,10,16:57:22,bn179/bn179,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
93,-,1131670642,2005.11.10,bn180,Nov,10,16:57:22,bn180/bn180,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
94,-,1131670642,2005.11.10,bn180,Nov,10,16:57:22,bn180/bn180,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
95,-,1131670642,2005.11.10,bn180,Nov,10,16:57:22,bn180/bn180,shutdown,,shutting down for system halt,E1,shutting down for system halt
96,-,1131670642,2005.11.10,bn181,Nov,10,16:57:22,bn181/bn181,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
97,-,1131670642,2005.11.10,bn181,Nov,10,16:57:22,bn181/bn181,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
98,-,1131670642,2005.11.10,bn182,Nov,10,16:57:22,bn182/bn182,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
99,-,1131670642,2005.11.10,bn182,Nov,10,16:57:22,bn182/bn182,pbs_mom,,pbs_mom shutdown succeeded,E3,<*> shutdown succeeded
100,-,1131670642,2005.11.10,bn182,Nov,10,16:57:22,bn182/bn182,smartd,,smartd shutdown failed,E2,<*> shutdown failed
101,-,1131670642,2005.11.10,bn182,Nov,10,16:57:22,bn182/bn182,sshd,1947,Received signal 15; terminating.,E6,Received signal <*>; terminating.
102,-,1131670642,2005.11.10,bn183,Nov,10,16:57:22,bn183/bn183,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
103,-,1131670642,2005.11.10,bn183,Nov,10,16:57:22,bn183/bn183,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
104,-,1131670642,2005.11.10,bn184,Nov,10,16:57:22,bn184/bn184,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
105,-,1131670642,2005.11.10,bn184,Nov,10,16:57:22,bn184/bn184,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
106,-,1131670642,2005.11.10,bn184,Nov,10,16:57:22,bn184/bn184,pbs_mom,,pbs_mom shutdown succeeded,E3,<*> shutdown succeeded
107,-,1131670642,2005.11.10,bn184,Nov,10,16:57:22,bn184/bn184,shutdown,,shutting down for system halt,E1,shutting down for system halt
108,-,1131670642,2005.11.10,bn184,Nov,10,16:57:22,bn184/bn184,smartd,,smartd shutdown failed,E2,<*> shutdown failed
109,-,1131670642,2005.11.10,bn184,Nov,10,16:57:22,bn184/bn184,sshd,2217,Received signal 15; terminating.,E6,Received signal <*>; terminating.
110,-,1131670642,2005.11.10,bn185,Nov,10,16:57:22,bn185/bn185,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
111,-,1131670642,2005.11.10,bn185,Nov,10,16:57:22,bn185/bn185,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
112,-,1131670642,2005.11.10,bn186,Nov,10,16:57:22,bn186/bn186,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
113,-,1131670642,2005.11.10,bn186,Nov,10,16:57:22,bn186/bn186,shutdown,,shutting down for system halt,E1,shutting down for system halt
114,-,1131670642,2005.11.10,bn187,Nov,10,16:57:22,bn187/bn187,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
115,-,1131670642,2005.11.10,bn187,Nov,10,16:57:22,bn187/bn187,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
116,-,1131670642,2005.11.10,bn188,Nov,10,16:57:22,bn188/bn188,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
117,-,1131670642,2005.11.10,bn188,Nov,10,16:57:22,bn188/bn188,shutdown,,shutting down for system halt,E1,shutting down for system halt
118,-,1131670642,2005.11.10,bn189,Nov,10,16:57:22,bn189/bn189,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
119,-,1131670642,2005.11.10,bn189,Nov,10,16:57:22,bn189/bn189,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
120,-,1131670642,2005.11.10,bn189,Nov,10,16:57:22,bn189/bn189,shutdown,,shutting down for system halt,E1,shutting down for system halt
121,-,1131670642,2005.11.10,bn190,Nov,10,16:57:22,bn190/bn190,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
122,-,1131670642,2005.11.10,bn190,Nov,10,16:57:22,bn190/bn190,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
123,-,1131670642,2005.11.10,bn190,Nov,10,16:57:22,bn190/bn190,shutdown,,shutting down for system halt,E1,shutting down for system halt
124,-,1131670642,2005.11.10,bn191,Nov,10,16:57:22,bn191/bn191,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
125,-,1131670642,2005.11.10,bn191,Nov,10,16:57:22,bn191/bn191,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
126,-,1131670642,2005.11.10,bn191,Nov,10,16:57:22,bn191/bn191,pbs_mom,,pbs_mom shutdown succeeded,E3,<*> shutdown succeeded
127,-,1131670642,2005.11.10,bn191,Nov,10,16:57:22,bn191/bn191,smartd,,smartd shutdown failed,E2,<*> shutdown failed
128,-,1131670642,2005.11.10,bn191,Nov,10,16:57:22,bn191/bn191,sshd,2218,Received signal 15; terminating.,E6,Received signal <*>; terminating.
129,-,1131670642,2005.11.10,bn192,Nov,10,16:57:22,bn192/bn192,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
130,-,1131670642,2005.11.10,bn192,Nov,10,16:57:22,bn192/bn192,shutdown,,shutting down for system halt,E1,shutting down for system halt
131,-,1131670642,2005.11.10,bn385,Nov,10,16:57:22,bn385/bn385,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
132,-,1131670642,2005.11.10,bn386,Nov,10,16:57:22,bn386/bn386,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
133,-,1131670642,2005.11.10,bn387,Nov,10,16:57:22,bn387/bn387,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
134,-,1131670642,2005.11.10,bn387,Nov,10,16:57:22,bn387/bn387,pbs_mom,,pbs_mom shutdown succeeded,E3,<*> shutdown succeeded
135,-,1131670642,2005.11.10,bn387,Nov,10,16:57:22,bn387/bn387,smartd,,smartd shutdown failed,E2,<*> shutdown failed
136,-,1131670642,2005.11.10,bn388,Nov,10,16:57:22,bn388/bn388,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
137,-,1131670642,2005.11.10,bn388,Nov,10,16:57:22,bn388/bn388,pbs_mom,,pbs_mom shutdown succeeded,E3,<*> shutdown succeeded
138,-,1131670642,2005.11.10,bn388,Nov,10,16:57:22,bn388/bn388,smartd,,smartd shutdown failed,E2,<*> shutdown failed
139,-,1131670642,2005.11.10,bn388,Nov,10,16:57:22,bn388/bn388,sshd,2214,Received signal 15; terminating.,E6,Received signal <*>; terminating.
140,-,1131670642,2005.11.10,bn389,Nov,10,16:57:22,bn389/bn389,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
141,-,1131670642,2005.11.10,bn390,Nov,10,16:57:22,bn390/bn390,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
142,-,1131670642,2005.11.10,bn391,Nov,10,16:57:22,bn391/bn391,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
143,-,1131670642,2005.11.10,bn392,Nov,10,16:57:22,bn392/bn392,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
144,-,1131670642,2005.11.10,bn393,Nov,10,16:57:22,bn393/bn393,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
145,-,1131670642,2005.11.10,bn393,Nov,10,16:57:22,bn393/bn393,pbs_mom,,pbs_mom shutdown succeeded,E3,<*> shutdown succeeded
146,-,1131670642,2005.11.10,bn393,Nov,10,16:57:22,bn393/bn393,smartd,,smartd shutdown failed,E2,<*> shutdown failed
147,-,1131670642,2005.11.10,bn393,Nov,10,16:57:22,bn393/bn393,sshd,2182,Received signal 15; terminating.,E6,Received signal <*>; terminating.
148,-,1131670642,2005.11.10,bn394,Nov,10,16:57:22,bn394/bn394,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
149,-,1131670642,2005.11.10,bn394,Nov,10,16:57:22,bn394/bn394,pbs_mom,,pbs_mom shutdown succeeded,E3,<*> shutdown succeeded
150,-,1131670642,2005.11.10,bn395,Nov,10,16:57:22,bn395/bn395,gmond,,gmond shutdown succeeded,E3,<*> shutdown succeeded
151,-,1131670642,2005.11.10,bn395,Nov,10,16:57:22,bn395/bn395,kernel,,omsad32[2900]: segfault at 0000000000000000 rip 0000000000000000 rsp 00000000f40a601c error 14,E33,omsad32[2900]: segfault at <*> rip <*> rsp <*> error <*>
152,-,1131670642,2005.11.10,bn395,Nov,10,16:57:22,bn395/bn395,omsad,,omsad32 shutdown succeeded,E3,<*> shutdown succeeded
153,-,1131670642,2005.11.10,bn395,Nov,10,16:57:22,bn395/bn395,pbs_mom,,pbs_mom shutdown succeeded,E3,<*> shutdown succeeded
154,-,1131670642,2005.11.10,bn395,Nov,10,16:57:22,bn395/bn395,sshd,2188,Received signal 15; terminating.,E6,Received signal <*>; terminating.
155,-,1131670642,2005.11.10,bn396,Nov,10,16:57:22,bn396/bn396,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
156,-,1131670642,2005.11.10,bn397,Nov,10,16:57:22,bn397/bn397,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
157,-,1131670642,2005.11.10,bn398,Nov,10,16:57:22,bn398/bn398,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
158,-,1131670642,2005.11.10,bn398,Nov,10,16:57:22,bn398/bn398,shutdown,,shutting down for system halt,E1,shutting down for system halt
159,-,1131670642,2005.11.10,bn400,Nov,10,16:57:22,bn400/bn400,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
160,-,1131670642,2005.11.10,bn402,Nov,10,16:57:22,bn402/bn402,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
161,-,1131670642,2005.11.10,bn403,Nov,10,16:57:22,bn403/bn403,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
162,-,1131670642,2005.11.10,bn404,Nov,10,16:57:22,bn404/bn404,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
163,-,1131670642,2005.11.10,bn405,Nov,10,16:57:22,bn405/bn405,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
164,-,1131670642,2005.11.10,bn406,Nov,10,16:57:22,bn406/bn406,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
165,-,1131670642,2005.11.10,bn408,Nov,10,16:57:22,bn408/bn408,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
166,-,1131670642,2005.11.10,bn409,Nov,10,16:57:22,bn409/bn409,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
167,-,1131670642,2005.11.10,bn410,Nov,10,16:57:22,bn410/bn410,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
168,-,1131670642,2005.11.10,bn411,Nov,10,16:57:22,bn411/bn411,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
169,-,1131670642,2005.11.10,bn412,Nov,10,16:57:22,bn412/bn412,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
170,-,1131670642,2005.11.10,bn413,Nov,10,16:57:22,bn413/bn413,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
171,-,1131670642,2005.11.10,bn413,Nov,10,16:57:22,bn413/bn413,shutdown,,shutting down for system halt,E1,shutting down for system halt
172,-,1131670642,2005.11.10,bn414,Nov,10,16:57:22,bn414/bn414,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
173,-,1131670642,2005.11.10,bn415,Nov,10,16:57:22,bn415/bn415,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
174,-,1131670642,2005.11.10,bn416,Nov,10,16:57:22,bn416/bn416,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
175,-,1131670642,2005.11.10,bn418,Nov,10,16:57:22,bn418/bn418,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
176,-,1131670642,2005.11.10,bn419,Nov,10,16:57:22,bn419/bn419,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
177,-,1131670642,2005.11.10,bn420,Nov,10,16:57:22,bn420/bn420,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
178,-,1131670642,2005.11.10,bn421,Nov,10,16:57:22,bn421/bn421,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
179,-,1131670642,2005.11.10,bn421,Nov,10,16:57:22,bn421/bn421,pbs_mom,,pbs_mom shutdown succeeded,E3,<*> shutdown succeeded
180,-,1131670642,2005.11.10,bn421,Nov,10,16:57:22,bn421/bn421,smartd,,smartd shutdown failed,E2,<*> shutdown failed
181,-,1131670642,2005.11.10,bn421,Nov,10,16:57:22,bn421/bn421,sshd,2177,Received signal 15; terminating.,E6,Received signal <*>; terminating.
182,-,1131670642,2005.11.10,bn424,Nov,10,16:57:22,bn424/bn424,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
183,-,1131670642,2005.11.10,bn425,Nov,10,16:57:22,bn425/bn425,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
184,-,1131670642,2005.11.10,bn426,Nov,10,16:57:22,bn426/bn426,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
185,-,1131670642,2005.11.10,bn428,Nov,10,16:57:22,bn428/bn428,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
186,-,1131670642,2005.11.10,bn429,Nov,10,16:57:22,bn429/bn429,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
187,-,1131670642,2005.11.10,bn430,Nov,10,16:57:22,bn430/bn430,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
188,-,1131670642,2005.11.10,bn431,Nov,10,16:57:22,bn431/bn431,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
189,-,1131670642,2005.11.10,bn432,Nov,10,16:57:22,bn432/bn432,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
190,-,1131670642,2005.11.10,bn433,Nov,10,16:57:22,bn433/bn433,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
191,-,1131670642,2005.11.10,bn434,Nov,10,16:57:22,bn434/bn434,init,,Switching to runlevel: 0,E4,Switching to runlevel: <*>
192,-,1131670642,2005.11.10,bn434,Nov,10,16:57:22,bn434/bn434,shutdown,,shutting down for system halt,E1,shutting down for system halt
193,-,1131670642,2005.11.10,bn435,Nov,10,16:57:22,bn435/bn435,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
194,-,1131670642,2005.11.10,bn436,Nov,10,16:57:22,bn436/bn436,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
195,-,1131670642,2005.11.10,bn437,Nov,10,16:57:22,bn437/bn437,messagebus,,messagebus shutdown failed,E2,<*> shutdown failed
