EventId,EventTemplate
E93,*** info [<*>(<*>)]:
E94,session opened for user <*> by (uid=<*>)
E95,session closed for user <*>
E96,started.
E97,Starting background readahead:
E98,Starting readahead:  succeeded
E99,using <*> CPU
E100,loading configuration from '/etc/named.conf'
E101,listening on IPv4 interface <*> <*>.<*>.<*>.<*>#<*>
E102,kernel time sync status <*>
E103,couldn't add command channel <*>: not found
E104,running
E105,"rsyncd version <*>.<*>.<*> starting, listening on port <*>"
E106,<*> succeeded
E107,messagebus -TERM succeeded
E108,<*> shutdown succeeded
E109,Stopping Canna server: succeeded
E110,Stopping MySQL:  succeeded
E111,Stopping squid:
E112,.
E113,Stopping squid:  succeeded
E114,<*>  shutdown failed
E115,smartd received signal 15: Terminated
E116,smartd is exiting (exit status 0)
E117,shutting down
E118,no longer listening on <*>
E119,exiting
E120,Exiting
E121,You can enable it with acpi=force
E122,kernel time sync disabled <*>
E123,kernel time sync enabled <*>
E124,connection from <*> (<*>) at <*>:<*>:<*>
E125,<*> failed
E126,removing device node '/udev/<*>'
E127,ALERT exited abnormally with [1]
E128,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>   user=<*>
E129,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>
E130,check pass; user unknown
E131,1 more authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<*>   user=<*>
E132,ANONYMOUS FTP LOGIN FROM <*> (<*>)
E133,Received SNMP packet(s) from <*>
E134,getpeername (ftpd): Transport endpoint is not connected
E135,warning: can't get client address: Connection reset by peer
E136,User unknown timed out after <*> seconds at <*>:<*>:<*> <*>
E137,Starting MySQL:  succeeded
E138,"configure: keyword ""authenticate"" unknown, line ignored"
E139,precision = <*>.<*> usec
E140,shutting down for system reboot
E141,Switching to runlevel: 6
E142,terminating
E143,NET-SNMP version <*>.<*>.<*>
E144,Squid Parent: child process <*> started
E145,Squid Parent: child process <*> exited with status <*>
E146,Started working: <*> available services
E147,Service telnet failed to start and is deactivated.
E148,No such internal service: services/stream - DISABLING
E149,Started gpm successfully. Entered daemon mode.
E150,irw_killserver:cannaserver end
E151,sshd -TERM succeeded
E152,ntpd exiting on signal <*>
E153,Kernel logging (proc) stopped.
E154,Kernel log daemon terminating.
E155,audit: initializing netlink socket (disabled)
E156,imps2: Auto-detected intellimouse PS/2
E157,net.ipv4.conf.default.rp_filter = <*>
E158,kernel.sysrq = <*>
E159,parport0: irq <*> detected
E160,Saving random seed:  succeeded
E161,"Caught signal <*>, un-registering and exiting."
E162,Mounting other filesystems:  succeeded
E163,file descriptor of service comsat has been closed
E164,select reported EBADF but no bad file descriptors were found
E165,"Warning!  Could not relabel  with system_u:object_r:devpts_t, not relabeling."
E166,starting BIND <*>.<*>.<*> -u named -t /var/named/chroot
E167,apm: BIOS version <*>.<*> Flags <*> (Driver version <*>.<*>)
E168,"Dquot-cache hash table entries: <*> (order <*>, <*> bytes)"
E169,bind failed (Address already in use (errno = <*>)). service = telnet
E170,xinetd Version <*>.<*>.<*> started with libwrap loadavg options compiled in.
E171,frequency initialized <*>.<*> PPM from /var/lib/ntp/drif
E172,Received TERM or STOP signal...  shutting down
E173,ip_tables: (C) <*>-<*> Netfilter core team
E174,"SELinux: initialized (dev , type rpc_pipefs), uses genfs_contexts"
E175,process `syslogd' is using obsolete setsockopt SO_BSDCOMPAT
E176,ntpd <*>.<*>.<*>@<*>.<*>-r Thu Mar <*> <*>:<*>:<*> EST <*> (<*>)
E177,<*>+<*> records in
E178,<*>+<*> records out
E179,"Memory: <*> available (<*> kernel code, <*> reserved, <*> data, <*> init, <*> highmem)"
E180,<*> Privoxy(<*>) Info: loading configuration file '/etc/privoxy/config':
E181,PCI: Found IRQ <*> for device <*>:<*>:<*>.<*>
E182,FDC <*> is a National Semiconductor PC87306
E183,3c59x: Donald Becker and others. www.scyld.com/network/vortex.html
E184,"pam_check_access failed, user does not have proper access: system_u:system_r:kernel_t"
E185,"synchronized to LOCAL(<*>), stratum=<*>"
E186,"parport0: PC-style at <*> (<*>) [PCSPP,TRISTATE,EPP]"
E187,Linux version <*>.<*>.<*><*>.<*> (bhcompile@bugs.build.redhat.com) (gcc version <*>.<*>.<*> (Red Hat Linux <*>.<*>.<*><*>)) #<*> <*>:<*>:<*> EDT <*>
E188,^[[60G[  ^[[0;32m
E189,"Version <*>.<*>.<*> (APM BIOS <*>.<*>, Linux driver <*>.<*>)"
E190,EXT3-fs: mounted filesystem with ordered data mode.
E191,"SELinux: initialized (dev hda1, type ext3), uses xattr"
E192,"SELinux: initialized (dev , type tmpfs), uses transition SIDs"
E193,IA-32 Microcode Update Driver: v<*>.<*> <tigran@veritas.com>
E194,microcode: CPU0 already at revision <*> (current=<*>)
E195,<*>:<*>:<*>.<*>: 3Com PCI 3c905C Tornado at <*>. Vers LK<*>.<*>.<*>
E196,inserting floppy driver for <*>.<*>.<*>-<*>.<*>
E197,SCSI subsystem initialized
E198,Calibrating delay loop... <*>.<*> BogoMIPS
E199,microcode: No suitable data for cpu <*>
E200,Floppy drive(s): fd0 is <*>M
E201,kernel.core_uses_pid = <*>
