LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate
37,Jun,9,6:06:20,combo,kernel,,SELinux:  Starting in permissive mode,E28,SELinux:  Starting in permissive mode
38,Jun,9,6:06:20,combo,kernel,,"There is already a security framework initialized, register_security failed.",E29,"There is already a security framework initialized, register_security failed."
39,Jun,9,6:06:20,combo,kernel,,Failure registering capabilities with the kernel,E30,Failure registering capabilities with the kernel
40,Jun,9,6:06:20,combo,kernel,,selinux_register_security:  Registering secondary module capability,E31,selinux_register_security:  Registering secondary module capability
41,Jun,9,6:06:20,combo,kernel,,Capability LSM initialized,E32,Capability LSM initialized
42,Jun,9,6:06:20,combo,kernel,,"Dentry cache hash table entries: 16384 (order: 4, 65536 bytes)",E33,"Dentry cache hash table entries: <*> (order: <*>, <*> bytes)"
43,Jun,9,6:06:20,combo,kernel,,"Inode-cache hash table entries: 8192 (order: 3, 32768 bytes)",E34,"Inode-cache hash table entries: <*> (order: <*>, <*> bytes)"
44,Jun,9,6:06:20,combo,kernel,,"Mount-cache hash table entries: 512 (order: 0, 4096 bytes)",E35,"Mount-cache hash table entries: <*> (order: <*>, <*> bytes)"
45,Jun,9,6:06:20,combo,rpc.statd,1605,Version 1.0.6 Starting,E36,Version <*>.<*>.<*> Starting
46,Jun,9,6:06:20,combo,nfslock,,rpc.statd startup succeeded,E2,<*> startup succeeded
47,Jun,9,6:06:20,combo,kernel,,"CPU: L1 I cache: 16K, L1 D cache: 16K",E37,"CPU: L1 I cache: <*>, L1 D cache: <*>"
48,Jun,9,6:06:21,combo,kernel,,CPU: L2 cache: 256K,E38,CPU: L2 cache: <*>
49,Jun,9,6:06:21,combo,kernel,,Intel machine check architecture supported.,E39,Intel machine check architecture supported.
50,Jun,9,6:06:21,combo,kernel,,Intel machine check reporting enabled on CPU#0.,E40,Intel machine check reporting enabled on CPU#<*>.
51,Jun,9,6:06:21,combo,kernel,,CPU: Intel Pentium III (Coppermine) stepping 06,E41,CPU: Intel Pentium III (Coppermine) stepping <*>
52,Jun,9,6:06:21,combo,kernel,,Enabling fast FPU save and restore... done.,E42,Enabling fast FPU save and restore... done.
53,Jun,9,6:06:21,combo,kernel,,Enabling unmasked SIMD FPU exception support... done.,E43,Enabling unmasked SIMD FPU exception support... done.
54,Jun,9,6:06:21,combo,kernel,,Checking 'hlt' instruction... OK.,E44,Checking 'hlt' instruction... OK.
55,Jun,9,6:06:21,combo,kernel,,POSIX conformance testing by UNIFIX,E45,POSIX conformance testing by UNIFIX
56,Jun,9,6:06:21,combo,kernel,,NET: Registered protocol family 16,E46,NET: Registered protocol family <*>
57,Jun,9,6:06:21,combo,kernel,,"PCI: PCI BIOS revision 2.10 entry at 0xfc0ce, last bus=1",E47,"PCI: PCI BIOS revision <*>.<*> entry at <*>, last bus=<*>"
58,Jun,9,6:06:21,combo,kernel,,PCI: Using configuration type 1,E48,PCI: Using configuration type <*>
59,Jun,9,6:06:21,combo,kernel,,mtrr: v2.0 (20020519),E49,mtrr: v<*>.<*> (<*>)
60,Jun,9,6:06:21,combo,kernel,,ACPI: Subsystem revision 20040326,E50,ACPI: Subsystem revision <*>
61,Jun,9,6:06:21,combo,kernel,,ACPI: Interpreter disabled.,E51,ACPI: Interpreter disabled.
62,Jun,9,6:06:21,combo,kernel,,Linux Plug and Play Support v0.97 (c) Adam Belay,E52,Linux Plug and Play Support v<*>.<*> (c) Adam Belay
63,Jun,9,6:06:21,combo,kernel,,usbcore: registered new driver usbfs,E53,usbcore: registered new driver usbfs
64,Jun,9,6:06:21,combo,kernel,,usbcore: registered new driver hub,E54,usbcore: registered new driver hub
65,Jun,9,6:06:21,combo,rpcidmapd,,rpc.idmapd startup succeeded,E2,<*> startup succeeded
66,Jun,9,6:06:21,combo,kernel,,ACPI: ACPI tables contain no PCI IRQ routing entries,E55,ACPI: ACPI tables contain no PCI IRQ routing entries
67,Jun,9,6:06:21,combo,kernel,,PCI: Invalid ACPI-PCI IRQ routing table,E56,PCI: Invalid ACPI-PCI IRQ routing table
68,Jun,9,6:06:21,combo,random,,Initializing random number generator:  succeeded,E57,Initializing random number generator:  succeeded
69,Jun,9,6:06:21,combo,kernel,,PCI: Probing PCI hardware,E58,PCI: Probing PCI hardware
70,Jun,9,6:06:21,combo,kernel,,PCI: Probing PCI hardware (bus 00),E59,PCI: Probing PCI hardware (bus <*>)
71,Jun,9,6:06:21,combo,kernel,,Transparent bridge - 0000:00:1e.0,E60,Transparent bridge - <*>
72,Jun,9,6:06:21,combo,kernel,,PCI: Using IRQ router PIIX/ICH [8086/2410] at 0000:00:1f.0,E61,PCI: Using IRQ router PIIX/ICH [<*>/<*>] at <*>
73,Jun,9,6:06:21,combo,kernel,,apm: BIOS version 1.2 Flags 0x03 (Driver version 1.16ac),E167,apm: BIOS version <*>.<*> Flags <*> (Driver version <*>.<*>)
74,Jun,9,6:06:21,combo,kernel,,audit: initializing netlink socket (disabled),E155,audit: initializing netlink socket (disabled)
75,Jun,9,6:06:21,combo,kernel,,audit(1118297138.4294965368:0): initialized,E62,audit(<*>.<*>:<*>): initialized
76,Jun,9,6:06:21,combo,kernel,,"Total HugeTLB memory allocated, 0",E63,"Total HugeTLB memory allocated, <*>"
77,Jun,9,6:06:21,combo,rc,,Starting pcmcia:  succeeded,E64,Starting pcmcia:  succeeded
78,Jun,9,6:06:21,combo,kernel,,VFS: Disk quotas dquot_6.5.1,E65,VFS: Disk quotas dquot_<*>.<*>.<*>
79,Jun,9,6:06:21,combo,kernel,,"Dquot-cache hash table entries: 1024 (order 0, 4096 bytes)",E168,"Dquot-cache hash table entries: <*> (order <*>, <*> bytes)"
80,Jun,9,6:06:21,combo,kernel,,SELinux:  Registering netfilter hooks,E66,SELinux:  Registering netfilter hooks
81,Jun,9,6:06:21,combo,kernel,,Initializing Cryptographic API,E67,Initializing Cryptographic API
82,Jun,9,6:06:21,combo,kernel,,pci_hotplug: PCI Hot Plug PCI Core version: 0.5,E68,pci_hotplug: PCI Hot Plug PCI Core version: <*>.<*>
83,Jun,9,6:06:21,combo,kernel,,isapnp: Scanning for PnP cards...,E69,isapnp: Scanning for PnP cards...
84,Jun,9,6:06:21,combo,kernel,,isapnp: No Plug & Play device found,E70,isapnp: No Plug & Play device found
85,Jun,9,6:06:21,combo,kernel,,Real Time Clock Driver v1.12,E71,Real Time Clock Driver v<*>.<*>
86,Jun,9,6:06:21,combo,kernel,,Linux agpgart interface v0.100 (c) Dave Jones,E72,Linux agpgart interface v<*>.<*> (c) Dave Jones
87,Jun,9,6:06:21,combo,kernel,,agpgart: Detected an Intel i810 E Chipset.,E73,agpgart: Detected an Intel i810 E Chipset.
88,Jun,9,6:06:21,combo,kernel,,agpgart: Maximum main memory to use for agp memory: 93M,E74,agpgart: Maximum main memory to use for agp memory: <*>
89,Jun,9,6:06:22,combo,bluetooth,,hcid startup succeeded,E2,<*> startup succeeded
90,Jun,9,6:06:22,combo,kernel,,agpgart: detected 4MB dedicated video ram.,E75,agpgart: detected <*> dedicated video ram.
91,Jun,9,6:06:22,combo,hcid,1677,HCI daemon ver 2.4 started,E76,HCI daemon ver <*>.<*> started
92,Jun,9,6:06:17,combo,network,,Setting network parameters:  succeeded,E77,Setting network parameters:  succeeded
93,Jun,9,6:06:22,combo,bluetooth,,sdpd startup succeeded,E2,<*> startup succeeded
94,Jun,9,6:06:22,combo,kernel,,agpgart: AGP aperture is 64M @ 0xf4000000,E78,agpgart: AGP aperture is <*> @ <*>
95,Jun,9,6:06:22,combo,sdpd,1681,sdpd v1.5 started,E79,sdpd v<*>.<*> started
96,Jun,9,6:06:17,combo,network,,Bringing up loopback interface:  succeeded,E80,Bringing up loopback interface:  succeeded
97,Jun,9,6:06:34,combo,kernel,,Bluetooth: Core ver 2.4,E81,Bluetooth: Core ver <*>.<*>
98,Jun,9,6:06:34,combo,kernel,,NET: Registered protocol family 31,E46,NET: Registered protocol family <*>
99,Jun,9,6:06:34,combo,kernel,,Bluetooth: HCI device and connection manager initialized,E82,Bluetooth: HCI device and connection manager initialized
100,Jun,9,6:06:34,combo,kernel,,Bluetooth: HCI socket layer initialized,E83,Bluetooth: HCI socket layer initialized
101,Jun,9,6:06:34,combo,kernel,,Bluetooth: L2CAP ver 2.1,E84,Bluetooth: L2CAP ver <*>.<*>
102,Jun,9,6:06:34,combo,kernel,,Bluetooth: L2CAP socket layer initialized,E85,Bluetooth: L2CAP socket layer initialized
103,Jun,9,6:06:34,combo,kernel,,Bluetooth: RFCOMM ver 1.2,E86,Bluetooth: RFCOMM ver <*>.<*>
104,Jun,9,6:06:34,combo,kernel,,Bluetooth: RFCOMM socket layer initialized,E87,Bluetooth: RFCOMM socket layer initialized
105,Jun,9,6:06:34,combo,kernel,,Bluetooth: RFCOMM TTY layer initialized,E88,Bluetooth: RFCOMM TTY layer initialized
106,Jun,9,6:06:34,combo,kernel,,"parport0: PC-style at 0x378 (0x778) [PCSPP,TRISTATE,EPP]",E186,"parport0: PC-style at <*> (<*>) [PCSPP,TRISTATE,EPP]"
107,Jun,9,6:06:34,combo,kernel,,parport0: irq 7 detected,E159,parport0: irq <*> detected
108,Jun,9,6:06:34,combo,kernel,,lp0: using parport0 (polling).,E89,lp0: using parport0 (polling).
109,Jun,9,6:06:35,combo,kernel,,lp0: console ready,E90,lp0: console ready
110,Jun,9,6:06:37,combo,cups,,cupsd startup succeeded,E2,<*> startup succeeded
111,Jun,9,6:06:38,combo,sshd,,succeeded,E91,succeeded
112,Jun,9,6:06:38,combo,xinetd,,xinetd startup succeeded,E2,<*> startup succeeded
113,Jun,9,6:06:40,combo,xinetd,2003,No such internal service: services/stream - DISABLING,E148,No such internal service: services/stream - DISABLING
114,Jun,9,6:06:40,combo,sendmail,,sendmail startup succeeded,E2,<*> startup succeeded
115,Jun,9,6:06:41,combo,sendmail,,sm-client startup succeeded,E2,<*> startup succeeded
116,Jun,9,6:06:41,combo,xinetd,2003,bind failed (Address already in use (errno = 98)). service = telnet,E169,bind failed (Address already in use (errno = <*>)). service = telnet
117,Jun,9,6:06:41,combo,xinetd,2003,Service telnet failed to start and is deactivated.,E147,Service telnet failed to start and is deactivated.
118,Jun,9,6:06:41,combo,xinetd,2003,xinetd Version 2.3.13 started with libwrap loadavg options compiled in.,E170,xinetd Version <*>.<*>.<*> started with libwrap loadavg options compiled in.
119,Jun,9,6:06:41,combo,xinetd,2003,Started working: 30 available services,E146,Started working: <*> available services
120,Jun,9,6:06:44,combo,spamassassin,,spamd startup succeeded,E2,<*> startup succeeded
121,Jun,9,6:06:44,combo,privoxy,,Jun 09 06:06:44 Privoxy(-150093696) Info: loading configuration file '/etc/privoxy/config':,E180,<*> Privoxy(<*>) Info: loading configuration file '/etc/privoxy/config':
122,Jun,9,6:06:45,combo,udev,2054,creating device node '/udev/lp0',E92,creating device node '/udev/<*>'
123,Jun,9,6:06:45,combo,privoxy,,privoxy startup succeeded,E2,<*> startup succeeded
124,Jun,9,6:06:45,combo,gpm,2068,*** info [startup.c(95)]:,E93,*** info [<*>(<*>)]:
125,Jun,9,6:06:45,combo,gpm,2068,Started gpm successfully. Entered daemon mode.,E149,Started gpm successfully. Entered daemon mode.
126,Jun,9,6:06:46,combo,gpm,2068,*** info [mice.c(1766)]:,E93,*** info [<*>(<*>)]:
127,Jun,9,6:06:46,combo,gpm,2068,imps2: Auto-detected intellimouse PS/2,E156,imps2: Auto-detected intellimouse PS/2
128,Jun,9,6:06:46,combo,gpm,,gpm startup succeeded,E2,<*> startup succeeded
129,Jun,9,6:06:46,combo,su(pam_unix),2077,session opened for user htt by (uid=0),E94,session opened for user <*> by (uid=<*>)
130,Jun,9,6:06:46,combo,su(pam_unix),2077,session closed for user htt,E95,session closed for user <*>
131,Jun,9,6:06:46,combo,IIim,,htt startup succeeded,E2,<*> startup succeeded
132,Jun,9,6:06:48,combo,htt_server,2080,started.,E96,started.
133,Jun,9,6:06:49,combo,canna,,succeeded,E91,succeeded
134,Jun,9,6:06:49,combo,crond,,crond startup succeeded,E2,<*> startup succeeded
135,Jun,9,6:06:50,combo,xfs,,xfs startup succeeded,E2,<*> startup succeeded
136,Jun,9,6:06:51,combo,anacron,,anacron startup succeeded,E2,<*> startup succeeded
137,Jun,9,6:06:51,combo,atd,,atd startup succeeded,E2,<*> startup succeeded
138,Jun,9,6:06:51,combo,readahead,,Starting background readahead:,E97,Starting background readahead:
139,Jun,9,6:06:51,combo,rc,,Starting readahead:  succeeded,E98,Starting readahead:  succeeded
140,Jun,9,6:06:52,combo,messagebus,,messagebus startup succeeded,E2,<*> startup succeeded
141,Jun,9,6:07:06,combo,httpd,,httpd startup succeeded,E2,<*> startup succeeded
142,Jun,9,6:07:07,combo,squid,2261,Squid Parent: child process 2264 started,E144,Squid Parent: child process <*> started
143,Jun,9,10:07:13,combo,named,2275,starting BIND 9.2.3 -u named -t /var/named/chroot,E166,starting BIND <*>.<*>.<*> -u named -t /var/named/chroot
144,Jun,9,10:07:13,combo,named,2275,using 1 CPU,E99,using <*> CPU
145,Jun,9,6:07:13,combo,named,,named startup succeeded,E2,<*> startup succeeded
146,Jul,27,14:41:57,combo,syslogd 1.4.1,,restart.,E1,restart.
147,Jul,27,14:41:57,combo,syslog,,syslogd startup succeeded,E2,<*> startup succeeded
148,Jul,27,14:41:57,combo,kernel,,"klogd 1.4.1, log source = /proc/kmsg started.",E3,"klogd <*>.<*>.<*>, log source = /proc/kmsg started."
149,Jul,27,14:41:57,combo,kernel,,Linux version 2.6.5-1.358 (bhcompile@bugs.build.redhat.com) (gcc version 3.3.3 20040412 (Red Hat Linux 3.3.3-7)) #1 Sat May 8 09:04:50 EDT 2004,E187,Linux version <*>.<*>.<*><*>.<*> (bhcompile@bugs.build.redhat.com) (gcc version <*>.<*>.<*> (Red Hat Linux <*>.<*>.<*><*>)) #<*> <*>:<*>:<*> EDT <*>
150,Jul,27,14:41:57,combo,kernel,,BIOS-provided physical RAM map:,E4,BIOS-provided physical RAM map:
151,Jul,27,14:41:57,combo,kernel,,BIOS-e820: 0000000000000000 - 00000000000a0000 (usable),E5,BIOS-e820: <*> - <*> (usable)
152,Jul,27,14:41:57,combo,kernel,,BIOS-e820: 00000000000f0000 - 0000000000100000 (reserved),E6,BIOS-e820: <*> - <*> (reserved)
153,Jul,27,14:41:57,combo,kernel,,BIOS-e820: 0000000000100000 - 0000000007eae000 (usable),E5,BIOS-e820: <*> - <*> (usable)
154,Jul,27,14:41:57,combo,kernel,,BIOS-e820: 0000000007eae000 - 0000000008000000 (reserved),E6,BIOS-e820: <*> - <*> (reserved)
155,Jul,27,14:41:57,combo,kernel,,BIOS-e820: 00000000ffb00000 - 0000000100000000 (reserved),E6,BIOS-e820: <*> - <*> (reserved)
156,Jul,27,14:41:57,combo,kernel,,0MB HIGHMEM available.,E7,<*> HIGHMEM available.
157,Jul,27,14:41:57,combo,kernel,,126MB LOWMEM available.,E8,<*> LOWMEM available.
158,Jul,27,14:41:57,combo,kernel,,zapping low mappings.,E9,zapping low mappings.
159,Jul,27,14:41:57,combo,syslog,,klogd startup succeeded,E2,<*> startup succeeded
160,Jul,27,14:41:57,combo,kernel,,On node 0 totalpages: 32430,E10,On node <*> totalpages: <*>
161,Jul,27,14:41:57,combo,kernel,,"DMA zone: 4096 pages, LIFO batch:1",E11,"DMA zone: <*> pages, LIFO batch:<*>"
162,Jul,27,14:41:57,combo,kernel,,"Normal zone: 28334 pages, LIFO batch:6",E12,"Normal zone: <*> pages, LIFO batch:<*>"
163,Jul,27,14:41:57,combo,irqbalance,,irqbalance startup succeeded,E2,<*> startup succeeded
164,Jul,27,14:41:57,combo,kernel,,"HighMem zone: 0 pages, LIFO batch:1",E13,"HighMem zone: <*> pages, LIFO batch:<*>"
165,Jul,27,14:41:57,combo,kernel,,DMI 2.3 present.,E14,DMI <*>.<*> present.
166,Jul,27,14:41:57,combo,kernel,,ACPI disabled because your bios is from 2000 and too old,E15,ACPI disabled because your bios is from <*> and too old
167,Jul,27,14:41:57,combo,kernel,,You can enable it with acpi=force,E16,You can enable it with acpi=force
168,Jul,27,14:41:57,combo,kernel,,Built 1 zonelists,E17,Built <*> zonelists
169,Jul,27,14:41:57,combo,kernel,,Kernel command line: ro root=LABEL=/ rhgb quiet,E18,Kernel command line: ro root=LABEL=/ rhgb quiet
170,Jul,27,14:41:57,combo,kernel,,mapped 4G/4G trampoline to ffff3000.,E19,mapped 4G/4G trampoline to <*>.
171,Jul,27,14:41:57,combo,kernel,,Initializing CPU#0,E20,Initializing CPU#<*>
172,Jul,27,14:41:57,combo,kernel,,"CPU 0 irqstacks, hard=02345000 soft=02344000",E21,"CPU <*> irqstacks, hard=<*> soft=<*>"
173,Jul,27,14:41:57,combo,portmap,,portmap startup succeeded,E2,<*> startup succeeded
174,Jul,27,14:41:57,combo,kernel,,PID hash table entries: 512 (order 9: 4096 bytes),E22,PID hash table entries: 512 (order <*>: <*> bytes)
175,Jul,27,14:41:57,combo,kernel,,Detected 731.219 MHz processor.,E23,Detected <*>.<*> MHz processor.
176,Jul,27,14:41:57,combo,rpc.statd,1618,Version 1.0.6 Starting,E36,Version <*>.<*>.<*> Starting
177,Jul,27,14:41:57,combo,kernel,,Using tsc for high-res timesource,E24,Using tsc for high-res timesource
178,Jul,27,14:41:58,combo,nfslock,,rpc.statd startup succeeded,E2,<*> startup succeeded
179,Jul,27,14:41:58,combo,kernel,,Console: colour VGA+ 80x25,E25,Console: colour VGA+ <*>
180,Jul,27,14:41:58,combo,kernel,,"Memory: 125312k/129720k available (1540k kernel code, 3860k reserved, 599k data, 144k init, 0k highmem)",E179,"Memory: <*> available (<*> kernel code, <*> reserved, <*> data, <*> init, <*> highmem)"
181,Jul,27,14:41:58,combo,kernel,,Calibrating delay loop... 1445.88 BogoMIPS,E198,Calibrating delay loop... <*>.<*> BogoMIPS
182,Jul,27,14:41:58,combo,kernel,,Security Scaffold v1.0.0 initialized,E26,Security Scaffold v<*>.<*>.<*> initialized
183,Jul,27,14:41:58,combo,kernel,,SELinux:  Initializing.,E27,SELinux:  Initializing.
184,Jul,27,14:41:58,combo,kernel,,SELinux:  Starting in permissive mode,E28,SELinux:  Starting in permissive mode
185,Jul,27,14:41:58,combo,kernel,,"There is already a security framework initialized, register_security failed.",E29,"There is already a security framework initialized, register_security failed."
186,Jul,27,14:41:58,combo,kernel,,Failure registering capabilities with the kernel,E30,Failure registering capabilities with the kernel
187,Jul,27,14:41:58,combo,kernel,,selinux_register_security:  Registering secondary module capability,E31,selinux_register_security:  Registering secondary module capability
188,Jul,27,14:41:58,combo,kernel,,Capability LSM initialized,E32,Capability LSM initialized
189,Jul,27,14:41:58,combo,rpcidmapd,,rpc.idmapd startup succeeded,E2,<*> startup succeeded
190,Jul,27,14:41:58,combo,kernel,,"Dentry cache hash table entries: 16384 (order: 4, 65536 bytes)",E33,"Dentry cache hash table entries: <*> (order: <*>, <*> bytes)"
191,Jul,27,14:41:58,combo,kernel,,"Inode-cache hash table entries: 8192 (order: 3, 32768 bytes)",E34,"Inode-cache hash table entries: <*> (order: <*>, <*> bytes)"
192,Jul,27,14:41:58,combo,kernel,,"Mount-cache hash table entries: 512 (order: 0, 4096 bytes)",E35,"Mount-cache hash table entries: <*> (order: <*>, <*> bytes)"
193,Jul,27,14:41:58,combo,kernel,,"CPU: L1 I cache: 16K, L1 D cache: 16K",E37,"CPU: L1 I cache: <*>, L1 D cache: <*>"
194,Jul,27,14:41:58,combo,kernel,,CPU: L2 cache: 256K,E38,CPU: L2 cache: <*>
195,Jul,27,14:41:58,combo,kernel,,Intel machine check architecture supported.,E39,Intel machine check architecture supported.
196,Jul,27,14:41:58,combo,kernel,,Intel machine check reporting enabled on CPU#0.,E40,Intel machine check reporting enabled on CPU#<*>.
197,Jul,27,14:41:58,combo,kernel,,CPU: Intel Pentium III (Coppermine) stepping 06,E41,CPU: Intel Pentium III (Coppermine) stepping <*>
198,Jul,27,14:41:58,combo,kernel,,Enabling fast FPU save and restore... done.,E42,Enabling fast FPU save and restore... done.
199,Jul,27,14:41:58,combo,kernel,,Enabling unmasked SIMD FPU exception support... done.,E43,Enabling unmasked SIMD FPU exception support... done.
200,Jul,27,14:41:58,combo,kernel,,Checking 'hlt' instruction... OK.,E44,Checking 'hlt' instruction... OK.
201,Jul,27,14:41:58,combo,random,,Initializing random number generator:  succeeded,E57,Initializing random number generator:  succeeded
202,Jul,27,14:41:58,combo,kernel,,POSIX conformance testing by UNIFIX,E45,POSIX conformance testing by UNIFIX
203,Jul,27,14:41:58,combo,kernel,,NET: Registered protocol family 16,E46,NET: Registered protocol family <*>
204,Jul,27,14:41:58,combo,kernel,,"PCI: PCI BIOS revision 2.10 entry at 0xfc0ce, last bus=1",E47,"PCI: PCI BIOS revision <*>.<*> entry at <*>, last bus=<*>"
205,Jul,27,14:41:58,combo,kernel,,PCI: Using configuration type 1,E48,PCI: Using configuration type <*>
206,Jul,27,14:41:58,combo,kernel,,mtrr: v2.0 (20020519),E49,mtrr: v<*>.<*> (<*>)
207,Jul,27,14:41:58,combo,kernel,,ACPI: Subsystem revision 20040326,E50,ACPI: Subsystem revision <*>
208,Jul,27,14:41:58,combo,kernel,,ACPI: Interpreter disabled.,E51,ACPI: Interpreter disabled.
209,Jul,27,14:41:58,combo,kernel,,Linux Plug and Play Support v0.97 (c) Adam Belay,E52,Linux Plug and Play Support v<*>.<*> (c) Adam Belay
210,Jul,27,14:41:58,combo,rc,,Starting pcmcia:  succeeded,E64,Starting pcmcia:  succeeded
211,Jul,27,14:41:58,combo,kernel,,usbcore: registered new driver usbfs,E53,usbcore: registered new driver usbfs
212,Jul,27,14:41:58,combo,kernel,,usbcore: registered new driver hub,E54,usbcore: registered new driver hub
213,Jul,27,14:41:58,combo,kernel,,ACPI: ACPI tables contain no PCI IRQ routing entries,E55,ACPI: ACPI tables contain no PCI IRQ routing entries
214,Jul,27,14:41:59,combo,kernel,,PCI: Invalid ACPI-PCI IRQ routing table,E56,PCI: Invalid ACPI-PCI IRQ routing table
215,Jul,27,14:41:59,combo,kernel,,PCI: Probing PCI hardware,E58,PCI: Probing PCI hardware
216,Jul,27,14:41:59,combo,kernel,,PCI: Probing PCI hardware (bus 00),E59,PCI: Probing PCI hardware (bus <*>)
217,Jul,27,14:41:59,combo,kernel,,Transparent bridge - 0000:00:1e.0,E60,Transparent bridge - <*>
218,Jul,27,14:41:59,combo,kernel,,PCI: Using IRQ router PIIX/ICH [8086/2410] at 0000:00:1f.0,E61,PCI: Using IRQ router PIIX/ICH [<*>/<*>] at <*>
219,Jul,27,14:41:59,combo,kernel,,apm: BIOS version 1.2 Flags 0x03 (Driver version 1.16ac),E167,apm: BIOS version <*>.<*> Flags <*> (Driver version <*>.<*>)
220,Jul,27,14:41:59,combo,kernel,,audit: initializing netlink socket (disabled),E155,audit: initializing netlink socket (disabled)
